
------ ******* ------ New Log ------ ******* ------
isTrain: True
net: MLP_CE
isCNN: False
isRandom: False
exp_name: Task1_MLP_CE
batch_size: 32
epoch: 250
milestones: [50, 100]
lr: 0.001
weight_decay: 0.0
reweight: 1.0
dir_root: ./data
task: Task_1
filename: data_1.mat
save_dir: ./experiments
MLP_CE(
  (mlp): Sequential(
    (0): Linear(in_features=779, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=32, bias=True)
    (3): ReLU()
    (4): Linear(in_features=32, out_features=32, bias=True)
    (5): ReLU()
    (6): Linear(in_features=32, out_features=2, bias=True)
  )
)
EPOCH = 137/250, [time] = 2.34s, [Acc 3840-tr]:0.986, [avrg loss] = 0.0442312. [Accu 961-Val]:0.959. Best @ 088, with accu 0.964.
EPOCH = 138/250, [time] = 2.02s, [Acc 3840-tr]:0.984, [avrg loss] = 0.0471269. [Accu 961-Val]:0.958. Best @ 088, with accu 0.964.
EPOCH = 139/250, [time] = 2.30s, [Acc 3840-tr]:0.988, [avrg loss] = 0.0495373. [Accu 961-Val]:0.961. Best @ 088, with accu 0.964.
EPOCH = 140/250, [time] = 2.15s, [Acc 3840-tr]:0.984, [avrg loss] = 0.0441700. [Accu 961-Val]:0.963. Best @ 088, with accu 0.964.
EPOCH = 141/250, [time] = 2.22s, [Acc 3840-tr]:0.987, [avrg loss] = 0.0406609. [Accu 961-Val]:0.963. Best @ 088, with accu 0.964.
EPOCH = 142/250, [time] = 2.00s, [Acc 3840-tr]:0.983, [avrg loss] = 0.0445645. [Accu 961-Val]:0.963. Best @ 088, with accu 0.964.
EPOCH = 143/250, [time] = 2.20s, [Acc 3840-tr]:0.988, [avrg loss] = 0.0433636. [Accu 961-Val]:0.963. Best @ 088, with accu 0.964.
EPOCH = 144/250, [time] = 2.12s, [Acc 3840-tr]:0.988, [avrg loss] = 0.0436183. [Accu 961-Val]:0.960. Best @ 088, with accu 0.964.
EPOCH = 145/250, [time] = 2.17s, [Acc 3840-tr]:0.984, [avrg loss] = 0.0425800. [Accu 961-Val]:0.963. Best @ 088, with accu 0.964.
EPOCH = 146/250, [time] = 2.41s, [Acc 3840-tr]:0.985, [avrg loss] = 0.0464469. [Accu 961-Val]:0.961. Best @ 088, with accu 0.964.
EPOCH = 147/250, [time] = 2.07s, [Acc 3840-tr]:0.986, [avrg loss] = 0.0457875. [Accu 961-Val]:0.963. Best @ 088, with accu 0.964.
EPOCH = 148/250, [time] = 2.23s, [Acc 3840-tr]:0.985, [avrg loss] = 0.0428788. [Accu 961-Val]:0.958. Best @ 088, with accu 0.964.
